  Index      Label (Miss) :  Q1 Q2 Q3
151   SFSF21    (0)   :  0.973 0.009 0.017 
152   SFSF22    (0)   :  0.978 0.009 0.013 
153   SFSF23    (0)   :  0.975 0.010 0.015 
154   SFSF25    (0)   :  0.976 0.009 0.016 
155   SFSF26    (0)   :  0.972 0.012 0.016 
156   SFSF27    (0)   :  0.976 0.008 0.015 
157   SFSF28    (0)   :  0.974 0.009 0.017 
158   SFSF29    (0)   :  0.976 0.009 0.014 
159   SFSF30    (0)   :  0.974 0.010 0.016 
160   SFSF31    (0)   :  0.975 0.009 0.015 
161   SFSF33    (0)   :  0.608 0.354 0.038 
162   SFSF34    (0)   :  0.974 0.010 0.017 
163   SFSF37    (0)   :  0.972 0.011 0.017 
164   SFSF38    (0)   :  0.977 0.010 0.014 
165   SFSF39    (0)   :  0.976 0.010 0.015 
166   SFSF40    (0)   :  0.977 0.008 0.014 
167   SPSP11    (0)   :  0.974 0.011 0.015 
168   SPSP12    (0)   :  0.976 0.009 0.015 
169   SPSP13    (0)   :  0.978 0.009 0.013 
170   SPSP15    (0)   :  0.974 0.009 0.017 
171   SPSP17    (0)   :  0.975 0.010 0.015 
172   SPSP18    (0)   :  0.979 0.008 0.014 
173   SPSP19    (0)   :  0.975 0.009 0.015 
174   SPSP21    (0)   :  0.975 0.010 0.016 
175   SPSP22    (0)   :  0.975 0.010 0.015 
176   SPSP23    (0)   :  0.973 0.011 0.016 
177   SPSP24    (0)   :  0.974 0.010 0.015 
178   SPSP26    (0)   :  0.977 0.009 0.014 
179   SPSP28    (0)   :  0.976 0.008 0.016 
180   SPSP29    (0)   :  0.975 0.009 0.016 
181   SPSP33    (0)   :  0.974 0.010 0.016 
182   SPSP36    (0)   :  0.976 0.009 0.015 
183   SPSP37    (0)   :  0.975 0.009 0.015 
184   SPSP39    (0)   :  0.975 0.010 0.015 
185   SPSP40    (0)   :  0.975 0.010 0.015 
186   SPSP41    (0)   :  0.033 0.953 0.015 
187   SPSP42    (0)   :  0.972 0.010 0.018 
188   SPSP43    (0)   :  0.974 0.011 0.015 
189   SPSP44    (0)   :  0.975 0.009 0.016 
190   SPSP45    (0)   :  0.975 0.010 0.016 
191   SPSP46    (0)   :  0.977 0.010 0.014 
192   SPSP47    (0)   :  0.974 0.011 0.016 
193   SPSP48    (0)   :  0.976 0.008 0.016 
194   SPSP49    (0)   :  0.976 0.009 0.014 
195   SPSP50    (0)   :  0.977 0.009 0.014 
196   SPSP51    (0)   :  0.977 0.009 0.014 
197   SPSP52    (0)   :  0.975 0.010 0.015 
198   SPSP53    (0)   :  0.974 0.011 0.015 
199   SPSP54    (0)   :  0.977 0.009 0.014 
200   SPSP57    (0)   :  0.977 0.008 0.015 
201   SPSP58    (0)   :  0.975 0.011 0.014 
202   SPSP59    (0)   :  0.973 0.010 0.017 
203   SPSP60    (0)   :  0.977 0.009 0.014 
204    TCTC1    (0)   :  0.016 0.005 0.979 
205    TCTC3    (0)   :  0.016 0.005 0.979 
206    TCTC4    (0)   :  0.015 0.005 0.980 
207    VAVA1    (0)   :  0.095 0.886 0.020 
208    VAVA2    (0)   :  0.095 0.884 0.021 
